,projectname,classification,commenttext
0,apache-ant-1.7.0,DEFECT,// FIXME formatters are not thread-safe
1,apache-ant-1.7.0,DEFECT,"// XXX: (Jon Skeet) The comment ""if it hasn't been done already"" may // not be strictly true. wrapper.maybeConfigure() won't configure the same // attributes/text more than once, but it may well add the children again, // unless I've missed something."
2,apache-ant-1.7.0,DEFECT,"// I hate to admit it, but we don't know what happened // here.  Throw the Exception."
3,apache-ant-1.7.0,DEFECT,"// Just a note: StarTeam has a status for NEW which implies // that there is an item  on your local machine that is not // in the repository.  These are the items that show up as // NOT IN VIEW in the Starteam GUI. // One would think that we would want to perhaps checkin the // NEW items (not in all cases! - Steve Cohen 15 Dec 2001) // Unfortunately, the sdk doesn't really work, and we can't // actually see  anything with a status of NEW. That is why // we can just check out  everything here without worrying // about losing anything."
4,apache-ant-1.7.0,DEFECT,// the generated classes must not be added in the generic JAR! // is that buggy on old JOnAS (2.4) ??
5,apache-ant-1.7.0,DEFECT,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver
6,apache-ant-1.7.0,DEFECT,"// This is turned off temporarily. There appears to be a bug // in SelectorUtils.matchPattern() where it is recursive on // Windows even if no ** is in pattern. //assertEquals(""FFFTFFFFFFFF"", results); // Unix // vs //assertEquals(""FFFTFFFFTFFF"", results); // Windows"
7,apache-ant-1.7.0,DEFECT,// pattern now holds ** while string is not exhausted // this will generate false positives but we can live with that.
8,apache-ant-1.7.0,DEFECT,"// FIXME: Is ""No Namespace is Empty Namespace"" really OK?"
9,apache-ant-1.7.0,DEFECT,// FIXME this is actually not very cpu cycles friendly as we are converting from // dos to java while the underlying Sun implementation will convert // from java to dos time for internal storage...
10,apache-ant-1.7.0,DEFECT,// check first that it is not already loaded otherwise // consecutive runs seems to end into an OutOfMemoryError // or it fails when there is a native library to load // several times. // this is far from being perfect but should work // in most cases.
11,apache-ant-1.7.0,DEFECT,"// TODO: // A warning line, that shows code, which contains a variable // error will cause some trouble. The parser should definitely // be much better."
12,apache-ant-1.7.0,DEFECT,// todo: is this comment still relevant ?? // FIXME: need to use a SAXSource as the source for the transform // so we can plug in our own entity resolver
13,apache-ant-1.7.0,DESIGN,"/** XXX I really don't like this - the XML processor is still
             * too 'involved' in the processing. A better solution (IMO)
             * would be to create UE for Project and Target too, and
             * then process the tree and have Project/Target deal with
             * its attributes ( similar with Description ).
             *
             * If we eventually switch to ( or add support for ) DOM,
             * things will work smoothly - UE can be avoided almost completely
             * ( it could still be created on demand, for backward compatibility )
             */"
14,apache-ant-1.7.0,DESIGN,// JUnit 4 wraps solo tests this way. We can extract // the original test name with a little hack.
15,apache-ant-1.7.0,DESIGN,// XXX ignore attributes in a different NS ( maybe store them ? )
16,apache-ant-1.7.0,DESIGN,//borrowed from TokenFilterTest
17,apache-ant-1.7.0,DESIGN,// XXX Move to Project ( so it is shared by all helpers )
18,apache-ant-1.7.0,DESIGN,// What is the property supposed to be?
19,apache-ant-1.7.0,DESIGN,"// PR: Hack for ant-type value //  an ant-type is a component name which can // be namespaced, need to extract the name // and convert from qualified name to uri/name"
20,apache-ant-1.7.0,DESIGN,// there's a convenient xsltc class version but data are // private so use package information
21,apache-ant-1.7.0,DESIGN,// stolen from org.apache.xerces.impl.XMLEntityManager#getUserDir() // of the Xerces-J team // which ASCII characters need to be escaped
22,apache-ant-1.7.0,DESIGN,// bingo append it. (this should normally not be done here)
23,apache-ant-1.7.0,DESIGN,// This is faintly ridiculous:
24,apache-ant-1.7.0,DESIGN,//cannot remove underscores due to protected visibility >:(
25,apache-ant-1.7.0,DESIGN,"// TODO not read, yet in a public setter"
26,apache-ant-1.7.0,DESIGN,//  PR: I do not know what to do if the object class //      has multiple defines //      but this is for logging only...
27,apache-ant-1.7.0,DESIGN,// not sure what could be the need of this...
28,apache-ant-1.7.0,DESIGN,// XXX: (Jon Skeet) Any reason for writing a message and then using a bare // RuntimeException rather than just using a BuildException here? Is it // in case the message could end up being written to no loggers (as the // loggers could have failed to be created due to this failure)?
29,apache-ant-1.7.0,DESIGN,"// Experimental/Testing, will be removed"
30,apache-ant-1.7.0,DESIGN,// XXX should instead make a new ProtectionDomain with a CodeSource // corresponding to container.toURI().toURL() and the same // PermissionCollection as Project.class.protectionDomain had
31,apache-ant-1.7.0,DESIGN,//this is really irritating; we need a way to set stuff
32,apache-ant-1.7.0,DESIGN,//XXX // All this to convert source to destination directory according // to weblogic standards Can be written better... this is too hacky!
33,apache-ant-1.7.0,DESIGN,//silly hack to avoid stack overflow...
34,apache-ant-1.7.0,DESIGN,"// -------------------- Access to property tables  -------------------- // This is used to support ant call and similar tasks. It should be // deprecated, it is possible to use a better (more efficient) // mechanism to preserve the context."
35,apache-ant-1.7.0,DESIGN,// XXX - should throw an exception instead?
36,apache-ant-1.7.0,DESIGN,// Temporary - until we figure a better API
37,apache-ant-1.7.0,DESIGN,"// There is a better way to save the context. This shouldn't // delegate to next, it's for backward compatibility only."
38,apache-ant-1.7.0,DESIGN,// quick fix for Ant.java use of property before // initializing the project
39,apache-ant-1.7.0,DESIGN,// XXX: we should use JCVS (www.ice.com/JCVS) instead of // command line execution so that we don't rely on having // native CVS stuff around (SM)
40,apache-ant-1.7.0,DESIGN,"/*
             * two reasons are mentioned in the API docs for File.list
             * (1) dir is not a directory. This is impossible as
             *     we wouldn't get here in this case.
             * (2) an IO error occurred (why doesn't it throw an exception
             *     then???)
             */"
41,apache-ant-1.7.0,DESIGN,"/**
 * Jakarta Commons Logging listener.
 * Note: do not use the SimpleLog as your logger implementation as it
 * causes an infinite loop since it writes to System.err, which Ant traps
 * and reroutes to the logger/listener layer.
 *
 * The following names are used for the log:
 *  org.apache.tools.ant.Project.PROJECT_NAME  - for project events
 *  org.apache.tools.ant.Target.TARGET_NAME - for target events
 *  TASK_CLASS_NAME.TARGET_NAME - for events in individual targets.
 *
 * In all target and project names we replace ""."" and "" "" with ""-"".
 *
 * TODO: we should use the advanced context logging features (and expose them
 * in c-l first :-)
 * TODO: this is _very_ inefficient. Switching the out and tracking the logs
 * can be optimized a lot - but may require few more changes to the core.
 *
 * @since Ant 1.5
 */"
42,apache-ant-1.7.0,DESIGN,"//     * @TODO using taskName here is brittle, as a user could override it. //     *       this should probably be modified to use the classname instead."
43,apache-ant-1.7.0,DESIGN,"//these are pathological cases, but retained in case somebody //subclassed us."
44,apache-ant-1.7.0,DESIGN,"/*
                 * This is a rather hairy case.
                 *
                 * One of our subclasses knows that we need to update the
                 * archive, but at the same time, there are no resources
                 * known to us that would need to be added.  Only the
                 * subclass seems to know what's going on.
                 *
                 * This happens if <jar> detects that the manifest has changed,
                 * for example.  The manifest is not part of any resources
                 * because of our support for inline <manifest>s.
                 *
                 * If we invoke createEmptyZip like Ant 1.5.2 did,
                 * we'll loose all stuff that has been in the original
                 * archive (bugzilla report 17780).
                 */"
45,apache-ant-1.7.0,DESIGN,// This is deprecated - use classespath in the future
46,apache-ant-1.7.0,DESIGN,//XXX  this array stuff is a remnant of prev trials.. gotta remove.
47,apache-ant-1.7.0,DESIGN,"/**
     * Set the number of milliseconds leeway to give before deciding a
     * target is out of date.
     * TODO: This is not yet used.
     * @param granularity the granularity used to decide if a target is out of
     *                    date.
     */"
48,apache-ant-1.7.0,DESIGN,"// This may change, if we add advanced parsing capabilities."
49,apache-ant-1.7.0,DESIGN,"// We assume, that every output, jikes does, stands for an error/warning // XXX // Is this correct?"
50,apache-ant-1.7.0,DESIGN,"// The line below is a hack: the system id must an URI, but it is not // cleat to get the URI of an resource, so just set the name of the // resource as a system id"
51,apache-ant-1.7.0,DESIGN,// XXX what is the following doing? //     should it run if !javadoc4 && executable != null?
52,apache-ant-1.7.0,DESIGN,"// MAC OS 9 and previous //TODO: I have no idea how to get it, someone must fix it"
53,apache-ant-1.7.0,DESIGN,//TODO: nothing appears to read this but is set using a public setter.
54,apache-ant-1.7.0,DESIGN,// XXX - we are committing CombiningChar and Extender here
55,apache-ant-1.7.0,DESIGN,"/*
                 * XXX - failed to load the class properly.
                 *
                 * should we print a warning here?
                 */"
56,apache-ant-1.7.0,DESIGN,// XXX could perhaps also call thread.stop(); not sure if anyone cares
57,apache-ant-1.7.0,DESIGN,"/**
         * XXX
         * Perhaps we shouldn't use properties for these
         * three options (emacs mode, warnings and pedantic),
         * but include it in the javac directive?
         */"
58,apache-ant-1.7.0,DESIGN,// XXX maybe use reflection to addPathElement (other patterns ?)
59,apache-ant-1.7.0,DESIGN,// TODO there is a problem with the constructor for the RBC. // you have to provide the rules in the constructors - no setters // available.
60,apache-ant-1.7.0,DESIGN,"// probably not the best choice, but it solves the problem of // relative paths in CLASSPATH"
61,apache-ant-1.7.0,DESIGN,// Fix for invalid characters. If you think of more add to the list.
